temperature,rainfall,humidity,yeild_apples
39.00,86.00,76.00,3464.00
22.00,83.00,52.00,2730.00
32.00,21.00,59.00,1893.00
37.00,87.00,61.00,3195.00
29.00,85.00,64.00,3082.00
94.00,72.00,48.00,3616.00
85.00,83.00,73.00,4095.00
48.00,65.00,25.00,2363.00
50.00,91.00,77.00,3747.00
23.00,36.00,40.00,1696.00
46.00,72.00,51.00,2899.00
90.00,68.00,95.00,4279.00
47.00,58.00,32.00,2340.00
80.00,85.00,85.00,4255.00
73.00,76.00,36.00,3148.00
26.00,89.00,95.00,3633.00
84.00,27.00,37.00,2459.00
55.00,37.00,57.00,2515.00
41.00,97.00,59.00,3405.00
30.00,21.00,41.00,1555.00
24.00,62.00,32.00,2044.00
73.00,58.00,73.00,3453.00
57.00,82.00,67.00,3527.00
66.00,30.00,60.00,2616.00
36.00,87.00,41.00,2839.00
96.00,25.00,86.00,3448.00
45.00,89.00,20.00,2662.00
46.00,72.00,64.00,3120.00
77.00,77.00,75.00,3893.00
29.00,65.00,62.00,2688.00
80.00,44.00,90.00,3602.00
43.00,25.00,94.00,2736.00
55.00,86.00,76.00,3720.00
45.00,53.00,77.00,2983.00
35.00,85.00,38.00,2736.00
63.00,38.00,22.00,2066.00
36.00,87.00,59.00,3145.00
92.00,22.00,32.00,2412.00
100.00,58.00,90.00,4174.00
31.00,98.00,78.00,3586.00
86.00,21.00,82.00,3148.00
35.00,56.00,60.00,2588.00
63.00,37.00,81.00,3051.00
45.00,89.00,80.00,3682.00
43.00,59.00,61.00,2787.00
40.00,47.00,54.00,2404.00
83.00,35.00,68.00,3114.00
89.00,75.00,55.00,3709.00
80.00,52.00,91.00,3763.00
100.00,34.00,60.00,3232.00
84.00,61.00,31.00,2969.00
72.00,46.00,45.00,2745.00
95.00,29.00,77.00,3351.00
81.00,36.00,28.00,2420.00
55.00,65.00,29.00,2543.00
60.00,35.00,40.00,2270.00
48.00,76.00,85.00,3581.00
82.00,91.00,95.00,4565.00
48.00,24.00,45.00,1965.00
98.00,42.00,28.00,2800.00
76.00,81.00,31.00,3201.00
93.00,91.00,88.00,4622.00
84.00,48.00,57.00,3177.00
73.00,48.00,64.00,3120.00
55.00,37.00,46.00,2328.00
74.00,92.00,90.00,4370.00
23.00,44.00,90.00,2690.00
52.00,86.00,41.00,3077.00
76.00,79.00,25.00,3063.00
51.00,22.00,86.00,2674.00
25.00,77.00,78.00,3112.00
94.00,65.00,74.00,3932.00
39.00,32.00,29.00,1693.00
87.00,86.00,100.00,4640.00
51.00,70.00,29.00,2569.00
40.00,40.00,75.00,2635.00
37.00,55.00,69.00,2755.00
57.00,28.00,25.00,1841.00
65.00,63.00,51.00,3041.00
42.00,77.00,71.00,3265.00
64.00,83.00,72.00,3742.00
61.00,80.00,36.00,3028.00
98.00,89.00,50.00,4020.00
66.00,86.00,77.00,3913.00
35.00,76.00,96.00,3560.00
30.00,57.00,38.00,2152.00
38.00,97.00,98.00,4020.00
100.00,73.00,22.00,3288.00
20.00,97.00,79.00,3409.00
51.00,66.00,100.00,3704.00
33.00,62.00,31.00,2171.00
58.00,41.00,37.00,2295.00
35.00,95.00,25.00,2695.00
77.00,34.00,64.00,2932.00
49.00,48.00,86.00,3110.00
61.00,28.00,55.00,2415.00
27.00,55.00,86.00,2884.00
67.00,69.00,23.00,2705.00
55.00,79.00,79.00,3645.00
25.00,98.00,72.00,3388.00
27.00,60.00,40.00,2192.00
40.00,93.00,82.00,3708.00
33.00,58.00,75.00,2847.00
85.00,95.00,73.00,4311.00
79.00,50.00,47.00,2963.00
79.00,21.00,22.00,2016.00
39.00,22.00,76.00,2312.00
25.00,85.00,78.00,3256.00
81.00,96.00,63.00,4095.00
90.00,76.00,61.00,3845.00
58.00,31.00,27.00,1945.00
49.00,40.00,34.00,2082.00
60.00,35.00,43.00,2321.00
63.00,85.00,56.00,3490.00
28.00,32.00,28.00,1500.00
46.00,54.00,57.00,2677.00
36.00,52.00,96.00,3144.00
82.00,74.00,44.00,3392.00
48.00,35.00,35.00,1993.00
96.00,30.00,25.00,2501.00
65.00,83.00,77.00,3843.00
80.00,63.00,51.00,3281.00
85.00,96.00,78.00,4414.00
83.00,42.00,83.00,3495.00
84.00,25.00,72.00,3018.00
54.00,60.00,80.00,3304.00
62.00,70.00,97.00,3901.00
79.00,63.00,57.00,3367.00
58.00,81.00,43.00,3117.00
30.00,40.00,72.00,2424.00
86.00,89.00,23.00,3369.00
80.00,35.00,49.00,2743.00
69.00,60.00,85.00,3629.00
42.00,48.00,94.00,3134.00
36.00,99.00,49.00,3191.00
58.00,98.00,22.00,3066.00
56.00,90.00,91.00,4063.00
57.00,95.00,88.00,4118.00
21.00,30.00,30.00,1386.00
80.00,86.00,80.00,4188.00
21.00,80.00,83.00,3187.00
92.00,28.00,89.00,3489.00
78.00,51.00,29.00,2659.00
38.00,32.00,36.00,1796.00
90.00,81.00,58.00,3884.00
56.00,30.00,72.00,2660.00
44.00,26.00,21.00,1529.00
68.00,99.00,35.00,3465.00
55.00,24.00,63.00,2383.00
45.00,27.00,45.00,1971.00
30.00,28.00,51.00,1851.00
71.00,65.00,45.00,3071.00
52.00,76.00,22.00,2574.00
68.00,40.00,86.00,3270.00
76.00,35.00,57.00,2815.00
60.00,70.00,32.00,2764.00
41.00,59.00,21.00,2075.00
83.00,40.00,21.00,2405.00
99.00,61.00,53.00,3583.00
71.00,72.00,95.00,4047.00
49.00,68.00,86.00,3470.00
21.00,96.00,79.00,3407.00
47.00,31.00,51.00,2177.00
90.00,69.00,100.00,4382.00
34.00,71.00,26.00,2264.00
68.00,81.00,71.00,3753.00
22.00,33.00,64.00,2034.00
54.00,61.00,35.00,2557.00
67.00,41.00,45.00,2575.00
94.00,81.00,20.00,3302.00
91.00,99.00,66.00,4360.00
57.00,25.00,95.00,2977.00
38.00,66.00,65.00,2901.00
73.00,47.00,45.00,2779.00
83.00,52.00,54.00,3182.00
41.00,36.00,44.00,2052.00
88.00,82.00,27.00,3343.00
43.00,47.00,28.00,2010.00
23.00,24.00,94.00,2398.00
26.00,98.00,31.00,2707.00
81.00,44.00,24.00,2496.00
53.00,96.00,72.00,3800.00
30.00,84.00,91.00,3539.00
29.00,42.00,41.00,1917.00
61.00,27.00,66.00,2584.00
47.00,82.00,24.00,2636.00
25.00,63.00,98.00,3200.00
54.00,65.00,73.00,3275.00
54.00,79.00,71.00,3493.00
98.00,78.00,94.00,4570.00
35.00,41.00,53.00,2199.00
56.00,22.00,26.00,1734.00
86.00,30.00,99.00,3599.00
76.00,23.00,96.00,3262.00
64.00,90.00,80.00,4004.00
42.00,99.00,46.00,3236.00
47.00,66.00,31.00,2467.00
72.00,78.00,73.00,3797.00
34.00,33.00,99.00,2821.00
67.00,74.00,51.00,3271.00
64.00,94.00,35.00,3311.00
42.00,87.00,52.00,3122.00
89.00,81.00,74.00,4140.00
92.00,90.00,93.00,4673.00
86.00,64.00,99.00,4211.00
76.00,20.00,68.00,2732.00
95.00,69.00,42.00,3476.00
53.00,77.00,46.00,3016.00
45.00,34.00,83.00,2743.00
54.00,66.00,30.00,2562.00
36.00,34.00,25.00,1613.00
65.00,96.00,23.00,3159.00
78.00,93.00,95.00,4537.00
50.00,35.00,66.00,2552.00
94.00,35.00,67.00,3273.00
77.00,76.00,57.00,3569.00
95.00,61.00,66.00,3740.00
99.00,96.00,97.00,4961.00
20.00,28.00,37.00,1453.00
70.00,25.00,34.00,2148.00
20.00,74.00,57.00,2621.00
26.00,39.00,53.00,2019.00
65.00,74.00,93.00,3953.00
54.00,83.00,98.00,4024.00
26.00,25.00,88.00,2362.00
69.00,80.00,41.00,3241.00
41.00,75.00,93.00,3587.00
68.00,64.00,99.00,3923.00
88.00,66.00,90.00,4126.00
81.00,88.00,39.00,3543.00
65.00,34.00,32.00,2196.00
85.00,59.00,38.00,3068.00
34.00,83.00,67.00,3177.00
92.00,22.00,47.00,2667.00
92.00,59.00,78.00,3860.00
72.00,25.00,66.00,2724.00
94.00,68.00,25.00,3153.00
65.00,82.00,91.00,4063.00
65.00,96.00,48.00,3584.00
29.00,54.00,24.00,1844.00
68.00,52.00,60.00,3044.00
57.00,71.00,85.00,3635.00
72.00,95.00,52.00,3746.00
39.00,21.00,27.00,1461.00
39.00,54.00,37.00,2225.00
77.00,32.00,45.00,2573.00
89.00,88.00,45.00,3773.00
36.00,97.00,21.00,2679.00
26.00,78.00,46.00,2602.00
73.00,96.00,87.00,4375.00
23.00,45.00,72.00,2402.00
69.00,43.00,34.00,2456.00
85.00,55.00,96.00,3982.00
81.00,97.00,75.00,4317.00
68.00,72.00,85.00,3829.00
21.00,22.00,64.00,1820.00
50.00,22.00,95.00,2811.00
53.00,93.00,28.00,2998.00
85.00,100.00,32.00,3704.00
56.00,58.00,47.00,2739.00
42.00,61.00,44.00,2518.00
56.00,82.00,38.00,3018.00
96.00,43.00,59.00,3313.00
46.00,75.00,56.00,3038.00
76.00,21.00,71.00,2801.00
89.00,72.00,32.00,3264.00
45.00,72.00,90.00,3546.00
47.00,95.00,79.00,3805.00
98.00,50.00,31.00,2995.00
69.00,32.00,54.00,2598.00
49.00,32.00,59.00,2363.00
76.00,48.00,64.00,3168.00
76.00,51.00,62.00,3188.00
34.00,71.00,49.00,2655.00
71.00,34.00,83.00,3159.00
22.00,48.00,86.00,2678.00
84.00,78.00,73.00,3989.00
24.00,93.00,24.00,2466.00
37.00,81.00,82.00,3444.00
49.00,77.00,82.00,3564.00
88.00,72.00,97.00,4353.00
32.00,46.00,80.00,2700.00
82.00,85.00,63.00,3913.00
39.00,45.00,99.00,3117.00
37.00,92.00,26.00,2690.00
99.00,26.00,94.00,3650.00
60.00,85.00,29.00,2983.00
75.00,93.00,78.00,4200.00
34.00,40.00,42.00,1978.00
81.00,52.00,33.00,2793.00
70.00,44.00,91.00,3459.00
88.00,55.00,96.00,4030.00
42.00,51.00,25.00,2015.00
26.00,57.00,29.00,1935.00
74.00,68.00,70.00,3598.00
37.00,63.00,79.00,3069.00
48.00,73.00,22.00,2456.00
97.00,92.00,59.00,4211.00
99.00,62.00,96.00,4332.00
24.00,75.00,60.00,2754.00
52.00,80.00,36.00,2884.00
29.00,75.00,92.00,3378.00
47.00,39.00,74.00,2712.00
34.00,35.00,86.00,2636.00
52.00,51.00,25.00,2175.00
93.00,42.00,78.00,3570.00
81.00,100.00,45.00,3861.00
100.00,80.00,26.00,3482.00
63.00,48.00,61.00,2909.00
48.00,51.00,47.00,2485.00
27.00,73.00,78.00,3072.00
60.00,98.00,95.00,4339.00
78.00,79.00,22.00,3044.00
99.00,30.00,42.00,2838.00
91.00,27.00,71.00,3149.00
85.00,95.00,20.00,3410.00
51.00,90.00,39.00,3099.00
37.00,67.00,96.00,3430.00
46.00,94.00,24.00,2836.00
51.00,99.00,37.00,3227.00
76.00,39.00,63.00,2989.00
74.00,70.00,20.00,2784.00
53.00,88.00,26.00,2874.00
95.00,69.00,90.00,4292.00
64.00,38.00,64.00,2796.00
68.00,88.00,22.00,3046.00
79.00,55.00,66.00,3376.00
87.00,39.00,63.00,3165.00
85.00,100.00,90.00,4690.00
84.00,40.00,52.00,2948.00
55.00,70.00,48.00,2956.00
47.00,79.00,57.00,3143.00
59.00,52.00,56.00,2832.00
84.00,83.00,43.00,3569.00
27.00,71.00,70.00,2900.00
85.00,81.00,75.00,4093.00
40.00,52.00,36.00,2188.00
58.00,26.00,84.00,2824.00
64.00,92.00,59.00,3683.00
63.00,68.00,78.00,3558.00
79.00,46.00,73.00,3333.00
51.00,68.00,24.00,2448.00
54.00,63.00,69.00,3171.00
75.00,61.00,68.00,3454.00
30.00,48.00,33.00,1905.00
96.00,65.00,87.00,4185.00
43.00,69.00,48.00,2746.00
55.00,87.00,42.00,3160.00
88.00,59.00,33.00,3031.00
57.00,75.00,91.00,3809.00
43.00,59.00,56.00,2702.00
88.00,100.00,76.00,4500.00
24.00,31.00,62.00,1996.00
26.00,37.00,68.00,2238.00
73.00,36.00,77.00,3125.00
70.00,43.00,79.00,3237.00
29.00,91.00,93.00,3683.00
49.00,66.00,28.00,2448.00
53.00,53.00,85.00,3247.00
35.00,28.00,73.00,2305.00
94.00,83.00,59.00,4001.00
24.00,47.00,39.00,1893.00
88.00,43.00,78.00,3508.00
28.00,25.00,76.00,2190.00
53.00,87.00,30.00,2924.00
36.00,55.00,46.00,2348.00
27.00,66.00,46.00,2402.00
39.00,34.00,55.00,2171.00
40.00,43.00,47.00,2213.00
34.00,68.00,49.00,2601.00
97.00,42.00,26.00,2750.00
53.00,54.00,87.00,3299.00
51.00,84.00,36.00,2940.00
74.00,65.00,94.00,3952.00
87.00,44.00,54.00,3102.00
42.00,55.00,66.00,2784.00
83.00,86.00,37.00,3505.00
30.00,50.00,46.00,2162.00
36.00,75.00,77.00,3235.00
51.00,57.00,20.00,2182.00
98.00,35.00,73.00,3439.00
66.00,29.00,73.00,2819.00
48.00,80.00,41.00,2905.00
90.00,83.00,63.00,4005.00
52.00,46.00,60.00,2680.00
61.00,75.00,75.00,3601.00
44.00,34.00,32.00,1860.00
69.00,32.00,35.00,2275.00
35.00,45.00,36.00,1982.00
81.00,65.00,33.00,3027.00
21.00,44.00,86.00,2590.00
90.00,81.00,83.00,4309.00
41.00,86.00,52.00,3088.00
35.00,79.00,22.00,2356.00
38.00,46.00,94.00,3034.00
99.00,35.00,83.00,3625.00
48.00,54.00,97.00,3389.00
98.00,54.00,34.00,3118.00
49.00,62.00,52.00,2784.00
28.00,72.00,84.00,3172.00
39.00,58.00,66.00,2790.00
62.00,59.00,74.00,3312.00
49.00,60.00,26.00,2306.00
90.00,90.00,47.00,3859.00
40.00,32.00,49.00,2049.00
62.00,75.00,72.00,3566.00
21.00,34.00,32.00,1492.00
85.00,38.00,75.00,3319.00
81.00,70.00,43.00,3287.00
42.00,80.00,69.00,3285.00
39.00,21.00,92.00,2566.00
94.00,96.00,99.00,4915.00
43.00,55.00,42.00,2392.00
41.00,85.00,41.00,2883.00
57.00,95.00,56.00,3574.00
64.00,21.00,20.00,1742.00
48.00,23.00,29.00,1675.00
43.00,29.00,86.00,2672.00
100.00,60.00,50.00,3530.00
42.00,27.00,83.00,2569.00
42.00,99.00,27.00,2913.00
99.00,39.00,88.00,3782.00
61.00,20.00,95.00,2951.00
64.00,60.00,75.00,3379.00
100.00,60.00,27.00,3139.00
84.00,35.00,76.00,3266.00
75.00,32.00,97.00,3425.00
67.00,97.00,96.00,4450.00
22.00,24.00,34.00,1362.00
37.00,76.00,92.00,3524.00
49.00,64.00,83.00,3347.00
38.00,22.00,60.00,2024.00
81.00,45.00,100.00,3806.00
25.00,85.00,77.00,3239.00
96.00,66.00,93.00,4305.00
74.00,84.00,38.00,3342.00
24.00,62.00,22.00,1874.00
43.00,24.00,34.00,1698.00
92.00,47.00,34.00,2896.00
50.00,70.00,60.00,3080.00
45.00,86.00,65.00,3373.00
35.00,40.00,65.00,2385.00
44.00,100.00,63.00,3575.00
28.00,42.00,21.00,1561.00
52.00,65.00,68.00,3158.00
32.00,88.00,89.00,3609.00
70.00,55.00,97.00,3759.00
55.00,90.00,75.00,3775.00
71.00,66.00,39.00,2987.00
24.00,51.00,27.00,1761.00
83.00,53.00,89.00,3795.00
89.00,33.00,38.00,2664.00
61.00,71.00,56.00,3206.00
65.00,46.00,69.00,3041.00
90.00,25.00,90.00,3420.00
56.00,66.00,32.00,2628.00
20.00,33.00,71.00,2121.00
60.00,36.00,23.00,1999.00
29.00,30.00,22.00,1378.00
61.00,26.00,44.00,2192.00
81.00,80.00,57.00,3705.00
84.00,32.00,96.00,3552.00
27.00,53.00,28.00,1862.00
92.00,85.00,89.00,4515.00
68.00,63.00,21.00,2579.00
22.00,73.00,40.00,2346.00
54.00,29.00,93.00,2967.00
38.00,23.00,60.00,2042.00
43.00,73.00,92.00,3566.00
59.00,90.00,31.00,3091.00
80.00,57.00,69.00,3479.00
72.00,81.00,78.00,3936.00
22.00,44.00,61.00,2181.00
74.00,82.00,22.00,3034.00
69.00,91.00,98.00,4408.00
22.00,90.00,37.00,2601.00
63.00,33.00,23.00,1993.00
62.00,61.00,62.00,3144.00
33.00,44.00,87.00,2799.00
73.00,53.00,22.00,2496.00
76.00,88.00,99.00,4483.00
43.00,56.00,77.00,3005.00
75.00,83.00,82.00,4088.00
32.00,77.00,49.00,2731.00
81.00,66.00,29.00,2977.00
94.00,51.00,42.00,3136.00
35.00,57.00,82.00,2980.00
64.00,70.00,60.00,3304.00
71.00,30.00,99.00,3359.00
30.00,93.00,23.00,2545.00
24.00,98.00,90.00,3678.00
85.00,89.00,78.00,4288.00
28.00,78.00,53.00,2753.00
38.00,30.00,27.00,1607.00
63.00,70.00,20.00,2608.00
100.00,45.00,87.00,3889.00
72.00,27.00,81.00,3015.00
31.00,97.00,47.00,3041.00
21.00,85.00,66.00,2988.00
100.00,34.00,44.00,2960.00
28.00,89.00,25.00,2475.00
38.00,84.00,44.00,2868.00
47.00,26.00,45.00,1985.00
33.00,70.00,33.00,2349.00
35.00,77.00,75.00,3221.00
32.00,75.00,85.00,3307.00
96.00,74.00,68.00,4024.00
51.00,66.00,35.00,2599.00
46.00,25.00,86.00,2648.00
31.00,39.00,79.00,2541.00
26.00,92.00,38.00,2718.00
54.00,57.00,50.00,2740.00
95.00,39.00,22.00,2596.00
74.00,56.00,32.00,2736.00
99.00,57.00,86.00,4072.00
26.00,22.00,33.00,1373.00
87.00,61.00,81.00,3867.00
41.00,97.00,40.00,3082.00
97.00,67.00,49.00,3591.00
99.00,41.00,51.00,3189.00
73.00,21.00,56.00,2498.00
44.00,22.00,27.00,1559.00
53.00,72.00,26.00,2586.00
34.00,27.00,95.00,2645.00
80.00,49.00,40.00,2842.00
93.00,75.00,69.00,4011.00
25.00,94.00,90.00,3622.00
100.00,31.00,20.00,2498.00
57.00,75.00,60.00,3282.00
80.00,89.00,74.00,4140.00
69.00,38.00,72.00,3012.00
50.00,70.00,66.00,3182.00
68.00,100.00,55.00,3823.00
79.00,58.00,79.00,3651.00
86.00,44.00,32.00,2712.00
37.00,67.00,98.00,3464.00
82.00,65.00,35.00,3077.00
32.00,45.00,49.00,2155.00
76.00,62.00,30.00,2842.00
68.00,35.00,23.00,2109.00
60.00,96.00,24.00,3096.00
73.00,81.00,27.00,3085.00
22.00,49.00,48.00,2050.00
29.00,97.00,59.00,3213.00
44.00,41.00,61.00,2479.00
86.00,97.00,73.00,4363.00
67.00,23.00,79.00,2829.00
72.00,55.00,52.00,3026.00
60.00,21.00,34.00,1916.00
86.00,79.00,99.00,4481.00
37.00,33.00,60.00,2206.00
25.00,68.00,52.00,2508.00
86.00,29.00,31.00,2425.00
67.00,48.00,32.00,2480.00
87.00,63.00,64.00,3614.00
20.00,75.00,65.00,2775.00
94.00,53.00,45.00,3223.00
35.00,28.00,64.00,2152.00
69.00,21.00,60.00,2502.00
68.00,82.00,33.00,3125.00
92.00,32.00,42.00,2762.00
65.00,61.00,67.00,3277.00
86.00,82.00,67.00,3991.00
39.00,95.00,39.00,2997.00
76.00,79.00,27.00,3097.00
58.00,38.00,83.00,3023.00
22.00,55.00,76.00,2634.00
59.00,93.00,75.00,3893.00
72.00,88.00,36.00,3348.00
67.00,60.00,98.00,3818.00
71.00,46.00,76.00,3256.00
63.00,72.00,97.00,3953.00
40.00,37.00,33.00,1867.00
51.00,72.00,26.00,2554.00
91.00,53.00,93.00,3991.00
99.00,66.00,83.00,4183.00
23.00,75.00,37.00,2347.00
21.00,65.00,27.00,1965.00
25.00,57.00,61.00,2463.00
89.00,33.00,30.00,2528.00
88.00,69.00,51.00,3517.00
27.00,72.00,63.00,2799.00
68.00,24.00,93.00,3101.00
80.00,80.00,33.00,3281.00
98.00,30.00,33.00,2669.00
87.00,26.00,76.00,3152.00
51.00,40.00,28.00,2012.00
72.00,57.00,82.00,3572.00
23.00,61.00,54.00,2384.00
25.00,77.00,62.00,2840.00
95.00,86.00,55.00,4003.00
50.00,29.00,99.00,3005.00
85.00,32.00,72.00,3160.00
57.00,63.00,59.00,3049.00
73.00,99.00,92.00,4514.00
31.00,32.00,49.00,1905.00
50.00,94.00,30.00,3002.00
71.00,94.00,33.00,3389.00
24.00,80.00,48.00,2640.00
95.00,63.00,88.00,4150.00
21.00,99.00,55.00,3053.00
36.00,34.00,89.00,2701.00
59.00,33.00,28.00,2014.00
51.00,23.00,85.00,2675.00
76.00,50.00,79.00,3459.00
37.00,69.00,34.00,2412.00
33.00,33.00,36.00,1734.00
43.00,25.00,87.00,2617.00
53.00,23.00,75.00,2537.00
42.00,44.00,33.00,2025.00
88.00,83.00,53.00,3803.00
88.00,38.00,34.00,2670.00
55.00,72.00,22.00,2550.00
90.00,48.00,94.00,3902.00
33.00,86.00,58.00,3062.00
80.00,91.00,38.00,3564.00
46.00,46.00,36.00,2176.00
44.00,29.00,60.00,2246.00
83.00,80.00,48.00,3584.00
42.00,86.00,47.00,3019.00
35.00,58.00,44.00,2352.00
81.00,43.00,20.00,2410.00
55.00,45.00,49.00,2523.00
87.00,28.00,24.00,2304.00
31.00,78.00,58.00,2886.00
45.00,38.00,29.00,1897.00
95.00,52.00,77.00,3765.00
63.00,32.00,96.00,3216.00
40.00,33.00,58.00,2220.00
46.00,91.00,63.00,3445.00
80.00,33.00,74.00,3132.00
41.00,41.00,39.00,2057.00
42.00,96.00,48.00,3216.00
41.00,61.00,57.00,2723.00
22.00,37.00,90.00,2548.00
90.00,64.00,35.00,3187.00
81.00,24.00,60.00,2748.00
52.00,56.00,34.00,2418.00
80.00,32.00,69.00,3029.00
86.00,35.00,70.00,3196.00
35.00,97.00,65.00,3411.00
26.00,30.00,96.00,2588.00
60.00,89.00,76.00,3854.00
28.00,22.00,93.00,2425.00
48.00,93.00,71.00,3649.00
40.00,63.00,29.00,2267.00
98.00,75.00,58.00,3904.00
99.00,97.00,38.00,3976.00
45.00,83.00,71.00,3421.00
61.00,29.00,100.00,3198.00
30.00,36.00,55.00,2063.00
49.00,47.00,46.00,2412.00
96.00,83.00,58.00,4016.00
33.00,51.00,26.00,1888.00
52.00,77.00,23.00,2609.00
85.00,65.00,28.00,3006.00
84.00,51.00,25.00,2687.00
51.00,31.00,96.00,3006.00
88.00,46.00,35.00,2831.00
